target_id,EXP_1,EXP_2,EXP_3,EXP_4,EXP_5,FAKER_1,FAKER_2,FAKER_3,FAKER_4,FAKER_5,human_1,human_2,human_3,human_4,human_5
H1233,0.7477049117599955,0.7179636306428044,0.5432336040793065,-0.8248653273114845,-0.8248653273114845,-0.8211476671718356,-0.8248653273114845,-0.8211476671718356,-0.8211476671718356,-0.8248653273114845,-0.8248653273114845,-0.8248653273114845,0.7477049117599955,0.7179636306428044,0.5432336040793065
T1234,-1.2470832869203858,-1.2157427308592796,-1.2261895828796483,-1.29235297900865,-1.21226044685249,-1.0590399505537489,-1.4142329192462852,-1.2819061269882817,-1.1530616187370673,0.9885430454385198,0.9258619333163075,0.929344217323097,1.0024721814656778,0.9432733533502553,0.9467556373570449
T1235,0.36941793523583194,0.3643763552184368,0.3593347752010417,0.3593347752010417,0.3593347752010417,0.3643763552184368,0.3542931951836466,0.36941793523583194,0.3593347752010417,0.7475364365404644,0.7525780165578595,0.7525780165578595,0.3442100351488564,0.2988358149923004,0.2988358149923004
H1236,0.5435994269746627,0.5492568260857,0.5492568260857,0.5549142251967374,0.5435994269746627,0.2946738660890183,-2.2511557338777965,-1.8381655987720686,-2.171952146323273,0.45873844030910205,0.5379420278636252,0.5662290234188121,0.45873844030910205,0.6171456154181485,-0.20883465479330715
T1237,0.33458880183409534,0.34736120907272694,0.35374741269204274,-2.3603891255171647,-2.5136580123807435,0.33458880183409534,0.3218163945954638,0.3218163945954638,0.315430190976148,0.33458880183409534,0.33458880183409534,0.33458880183409534,0.33458880183409534,0.3282025982147796,0.34736120907272694
T1240,0.14322534066022052,-0.26341443771774886,-2.173975936128524,0.1496799403170137,0.6531387135468798,-2.1868851354421097,-0.08268564732754023,-1.6769717625554506,0.05931554512190939,-0.6184174188413722,-2.1868851354421097,-0.08268564732754023,-1.6769717625554506,0.05931554512190939,-0.6184174188413722
H1244,0.19095742598981516,0.17495354440296065,0.23896907075037863,0.23896907075037863,0.27897877471751487,0.7030816367691588,0.7350893999428678,0.6470680512151681,0.6150602880414592,0.44701953137948697,-0.3931842519303729,0.8871262750179846,0.8711223934311301,0.8311126894639947,0.7670971631165768
H1245,0.5425779964622969,0.5297571227607168,0.5297571227607168,-0.624121510381486,-1.8356940751807986,-0.8420763633083466,0.818226781046267,-0.41898753115620535,-0.5407858313212157,0.6707867334780966,0.7092493545828367,0.7028389177320467,0.7284806651352067,0.7413015388367867,0.6515554229257264
T1257,1.2175396855360792,1.0399373124158822,1.200625173810346,0.5155874489181571,0.8919353348157177,1.1794820341531798,1.2429114531246788,1.2598259648504118,1.16679615035888,1.1710247782903132,1.2259969413989458,1.1625675224274465,1.16679615035888,1.247140081056112,1.2640545927818452
H1258,0.2654208712188012,0.1954055462979116,0.2054077355723244,0.1954055462979116,0.8555500384091563,0.2654208712188012,0.1954055462979116,0.2054077355723244,0.21540992484673718,0.4954712245302956,0.2654208712188012,0.1954055462979116,0.2054077355723244,0.1954055462979116,0.7655303349394411
T1259,-0.814489293910821,-0.814489293910821,1.2083747143846497,-0.9506436021614779,0.7571204356110447,-0.8339399093752006,-0.8261596631894488,-0.8261596631894488,-0.8261596631894488,1.2200450836632775,1.2161549605704016,-0.8533905248395801,1.2044845912917739,-0.8495004017467043,1.1928142220131461
H1265,-1.8548585406971707,-1.816855021810148,0.24800283771807932,1.1980908098936442,0.3873490736371623,-1.816855021810148,-1.9055298992132008,-1.8548585406971707,1.603461678021885,0.24800283771807932,-1.816855021810148,-1.9055298992132008,-1.8548585406971707,1.603461678021885,0.24800283771807932
H1267,-0.3050951259526428,-0.2969675463545158,-0.2969675463545158,-0.557050093494581,-0.5814328322889621,3.3116777952138863,-0.2807123871582617,-0.28883996675638873,-0.31322270555076986,-0.2807123871582617,-0.3050951259526428,-0.2807123871582617,3.839970469092143,0.09315627435558164,0.03626321716869237
T1270,0.44140102977145695,0.3770726701453915,0.023266692202031456,2.0496100204230916,3.3040130331313664,0.666550288462686,-0.8934124324694004,0.5378935692105551,0.007184602295515092,-0.008897487611001271,-0.2501288362087467,0.03934878210854782,-0.8130019829368186,-0.2983751059282958,-0.2662109261152631
H1272,0.9096378497377445,0.9038960783745226,0.7833188797468607,0.7718353370204166,0.5191973970386489,0.9096378497377445,0.9038960783745226,0.7833188797468607,0.7718353370204166,0.5191973970386489,0.9096378497377445,0.9038960783745226,0.7833188797468607,0.7718353370204166,0.5191973970386489
T1292,0.179260414282281,0.179260414282281,0.179260414282281,-0.39879489507504345,-0.3788619533730668,0.179260414282281,0.179260414282281,0.179260414282281,0.179260414282281,0.1393945308783276,0.179260414282281,0.179260414282281,0.179260414282281,0.19919335598425772,0.19919335598425772
T1294v1,0.0777734039074327,0.28282430884326987,0.2681778156335672,0.25353132242386456,0.2681778156335672,0.18029885637535129,-0.22980295349632304,-0.2151564602866204,-0.2151564602866204,0.19494534958505394,0.16565236316564863,0.18029885637535129,-0.8156626818844276,-1.430815396691939,0.19494534958505394
T1295,-0.30850977703043275,-0.9267663390184455,-0.6491817601666847,-0.6239467984528883,1.1298830406559643,0.41068663181276577,-0.7122691644511758,-0.8889138964477511,-1.1791159561564102,-1.1286460327288173,0.41068663181276577,-0.7122691644511758,-0.8889138964477511,-1.1791159561564102,-1.1286460327288173
T1298,-0.16478295735529358,2.669609501570863,2.660161526707777,-0.48601410270025835,-0.19312688194455518,2.6885054512970377,2.6885054512970377,2.6507135518446896,2.660161526707777,-0.04195928413515999,-0.11754308303985758,2.5467858283507305,-0.09864713331368317,-0.16478295735529358,-0.2592627059861656
